2023-05-15 00:05:99 INFO  HomePage :27 - Top menu
2023-05-15 00:05:768 INFO  HomePage :51 - sort type [[ChromeDriver: chrome on WINDOWS (c7e2741d9b75d8b41cfd3d3c7580ad7d)] -> xpath: //select[@id='products-orderby']]
2023-05-15 00:05:989 INFO  HomePage :86 - List of products [[[ChromeDriver: chrome on WINDOWS (c7e2741d9b75d8b41cfd3d3c7580ad7d)] -> xpath: //div[@class='item-grid']/div//h2], [[ChromeDriver: chrome on WINDOWS (c7e2741d9b75d8b41cfd3d3c7580ad7d)] -> xpath: //div[@class='item-grid']/div//h2], [[ChromeDriver: chrome on WINDOWS (c7e2741d9b75d8b41cfd3d3c7580ad7d)] -> xpath: //div[@class='item-grid']/div//h2]]
2023-05-15 00:05:188 INFO  HomePage :27 - Top menu
2023-05-15 00:05:700 INFO  HomePage :51 - sort type [[ChromeDriver: chrome on WINDOWS (b06b17aacd2d8e7e30e3989c2ae863be)] -> xpath: //select[@id='products-orderby']]
2023-05-15 00:05:959 INFO  HomePage :86 - List of products [[[ChromeDriver: chrome on WINDOWS (b06b17aacd2d8e7e30e3989c2ae863be)] -> xpath: //div[@class='item-grid']/div//h2], [[ChromeDriver: chrome on WINDOWS (b06b17aacd2d8e7e30e3989c2ae863be)] -> xpath: //div[@class='item-grid']/div//h2], [[ChromeDriver: chrome on WINDOWS (b06b17aacd2d8e7e30e3989c2ae863be)] -> xpath: //div[@class='item-grid']/div//h2]]
2023-05-15 00:05:374 INFO  HomePage :27 - Top menu
2023-05-15 00:05:285 INFO  HomePage :51 - sort type [[ChromeDriver: chrome on WINDOWS (82d8fba597bb7d70924df330f59e7eba)] -> xpath: //select[@id='products-orderby']]
2023-05-15 00:05:625 INFO  HomePage :86 - List of products [[[ChromeDriver: chrome on WINDOWS (82d8fba597bb7d70924df330f59e7eba)] -> xpath: //div[@class='item-grid']/div//h2], [[ChromeDriver: chrome on WINDOWS (82d8fba597bb7d70924df330f59e7eba)] -> xpath: //div[@class='item-grid']/div//h2], [[ChromeDriver: chrome on WINDOWS (82d8fba597bb7d70924df330f59e7eba)] -> xpath: //div[@class='item-grid']/div//h2]]
2023-05-15 00:05:358 INFO  HomePage :27 - Top menu
2023-05-15 00:05:46 INFO  HomePage :51 - sort type [[ChromeDriver: chrome on WINDOWS (e0e617960f56b15dd7b62b53fc771bc1)] -> xpath: //select[@id='products-orderby']]
